id,Rol,Token,Respuesta_esperada,Respuesta_obtenida,revision
11,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZTFkMGM0ZjktMWY5Mi00ZDVmLTllMzAtYzJhYWQ3ODRiMTcyIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.KkxQ4_3Npd3CYmwNEUeI3MFCkIr4HVPw5AN61GNCi3U,Acceso permitido,Acceso permitido,True
12,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiODBmZDI2ZjEtZjc0ZC00YWMxLWEzOTEtZjRhN2ZhMDNhYmMyIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.6G2grI7YU3jf73SZhiAEgMrs4U0xJJW9mp1zWEok7KA,No autorizado,No autorizado,True
13,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiN2JlNjQzOGUtYjg0YS00OWQ1LWJmOTctMGZlM2Y4ZDgyYzBkIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.U0d4GvhQ5tSKiZ_c6dyTJQpcvAIiUNUhZGH5v0msapI,No autorizado,No autorizado,True
14,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMDQ4ZWVlNTEtODE0Yi00OGI2LWE0Y2MtZDc2NGM1YWQ0NGVmIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.Nf8R8hy-kJUTSIQUZc7VuhoRdaK_jXMCRcZ46uwC10k,Acceso permitido,Acceso permitido,True
15,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNDY5ZDIwYWMtMjAxYS00ZjIxLWFlMjctZWY4MzJhMWRhMjRjIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.86Tl-y0xWO48AsvHaAGTMAJkmHWXcsOWl_lezGiikiY,Acceso permitido,Acceso permitido,True
16,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYzZmMTFlYjAtNzNlMC00NjQyLWJlNmQtMmMzNmQzMTEyZGI4IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.ESgUnQD0ae90gCh3-YiB-j_tMIjzW9aGYjHIJT3DI58,Acceso permitido,Acceso permitido,True
17,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiOTUwOTllNGMtOTE3ZS00MTJkLTkxNTAtNDA5YWM3ZjQyNzgwIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.v5vlooqakY6CJUCvUN2yLyblx1E2FGOjwKFSPPYntts,No autorizado,No autorizado,True
18,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNDM3YjExYjctNjcxNS00ZGJiLWE2ZTUtOGJlZTRkNGMwZTM2IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.l8QaPBzUHiE5zOomoEFpuBLdoh6vYDbLcpv4vI09cN8,No autorizado,No autorizado,True
19,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNmRmODFlNzktOGRiMy00ZGI0LThmNGEtY2RlNzk4Yjc0ODcxIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.lERn44T-c2qX3Mws9eP3rp4CMkOolLk0GG5xlDf7FkI,No autorizado,No autorizado,True
20,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNzQzYjE1MzUtZjUwYS00NWQ0LWI1OGYtMGUyNWEyNjEwNTMwIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.5ieLJmgtTXukTABU3QhklpI4haOZocmnMyFZsGh4m7g,No autorizado,No autorizado,True
21,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYzE1NDI4OWMtZWVkOS00OGVkLWE1NzUtODE3ZDhjZjllODc1IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.m-9Wia4jeG5P2blOYyc2ckus_wf1kCWhcRvYx4Bv7sA,No autorizado,No autorizado,True
22,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZTM2MTAwNGEtOWM4MS00OGViLWE5YWUtMWE3MWNjYmE4ODRmIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.RtML9wssugvwOS9HG3IEdE-6xgGy01qpiYDY6RO3RmQ,No autorizado,No autorizado,True
23,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMTM2NWU5N2YtZDk4OS00NDZkLTlhMjMtNTU2MjdlY2JlNjdkIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.Qqp3fOM_RPcMQ87OfnbFXFIgk2tpSEeUFOGLdDXAeTE,No autorizado,No autorizado,True
24,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiOTRkOTVlYWItMmNhZS00ZTg5LTg5MzctNjE2NzkzNmU2M2NhIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.iKS014IycSNkaCWdmOMJryVvDkvvO7zJWnK2vvxVbvY,No autorizado,No autorizado,True
25,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMjdmMjdkOTUtOWY2ZC00YjBlLTk4ZjYtZGQyY2E5NzM3YTBiIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.54hKNR4ZU-rDdgOLCVWsTb28qr6u4Qbjlgir5L0Np2E,Acceso permitido,Acceso permitido,True
26,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYjhiYjk4NjItMDExNi00NjkxLWFlODMtNDU0NTA4YjUyNzAzIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.4fjqi6AMzppuTcY19VGWo-kCCi_1GXzB5iFBZkX2Q5k,Acceso permitido,Acceso permitido,True
27,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNmQ1ZDMwM2UtN2E5ZS00ZGY3LWI3NjItYjNkOTRlYjkyNDI4IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.K0NTl-7tKXfhvIKvPp2BUVUS0at4pJY2uySIzf8g7GI,No autorizado,No autorizado,True
28,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiOGZjZjU0OTgtYTJlYy00MGQ0LWI2M2YtOGI3ZWVmZDRlZDBlIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.CEhlZ9XVoqJW_atl-Z2fkkkHVo4KzhcyrJpqyZpKv5g,Acceso permitido,Acceso permitido,True
29,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZTEwNWNjYzktYjAzNi00ZjNmLTkwNjYtNGFlMGVhNzJmNjNlIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.b8V4SV7Ggl-vKgd0aBmVVaiBdu03UZEuOMOnWmbnJSY,No autorizado,No autorizado,True
30,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYTc4NThkOWEtODg5MS00ZjVkLTkxNjAtYTM0YjQ5NmQ3OTRkIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.mhzDppLijJuBegpHj0swIudO1AXVHl3Su8k659p4NLw,Acceso permitido,Acceso permitido,True
31,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZTRkZWEzYWYtMzk2Yi00ZmNjLWFkYzUtZGFjNmIwMjlkYmQ4IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.KKMqsZ8bHhVM-8To7_QLxu72L18p0WGcoqcEGkZd3nw,Acceso permitido,Acceso permitido,True
32,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiODllMmQ2ZTMtNTA4ZS00YzQ2LWJhOGUtZjZhYTE0ZjI1YjNmIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.lMWi0T9ddmJSPAofDJBonbOmMfsA2Ivw4DvUCPawri8,Acceso permitido,Acceso permitido,True
33,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMjY4YjE5YjQtZDczZS00OTU3LWJmMzktMGUwMjEzZDAxMDViIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.3Q6acR4ak40bDOO_VyVUARPXN62Fg5R9smh7Xy2ty7g,No autorizado,No autorizado,True
34,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNDU5N2YzZTItZWJmOS00NjRhLWFjZjAtNjA0NjBmZmM1ZDNmIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.GhqW_Z-ujkl5kdceW0wNWoID-Mcr8zvJaODr30f-ltY,No autorizado,No autorizado,True
35,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiY2E2NDNkZDYtMGQ2Ny00ZmU2LWE0ZmMtNTM4ZWE1NTY5ZTg1IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.Wj8ipK15AyU5aY3UTaaiiq08h9XK3T8qSsU3cx_Eqvw,No autorizado,No autorizado,True
36,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMDFjODQ0ZTEtMTFlMy00YjBmLWIyYTItMTdkYzI0YTg2YWFmIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.EjshNdRjihl9GR779tawelnj4yz5uiqF_lU0BZSqz0U,No autorizado,No autorizado,True
37,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYWVhMjYzOWMtZTRlOS00NzJkLTlmNjItYjRlMjlkYWRmNjkxIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.jAX3YamqfzrINdrqstZXhHZkh94SpT4YkRKTRAydzbw,Acceso permitido,Acceso permitido,True
38,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZjQ2MzhlNjEtNWI4NC00MmQzLTg3YTUtMDRkYzFhZTJmNmJiIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.PBgx64upomqaSkLv-E6R4ihqVANCsbtA5PUZM64gh_E,Acceso permitido,Acceso permitido,True
39,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiOWI4OTY2OTktNzI1Zi00YzFhLThmYTYtNGFjNzc3MWYzNmZjIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.5lg9qtCg0RNWheZTL70yOKf8ZwCfsHrau4-8ojC-ld8,No autorizado,No autorizado,True
40,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYTk1ODIxMzgtNmVlYy00MGE2LTllMjYtZDQ0ZDc3YmQwZDU2IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.gjZ08TciiD3KI986f8yg2G3FgCIx3SkKXuTOCP9-fu4,No autorizado,No autorizado,True
41,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYzYyMWY2NjEtOTg3MC00MDc3LThjYWQtYjhkMjg4NTg2OWYyIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.SYIZAT9z01ZQU4pn3yjifj9HqqwMJr_JYBLhdRyzwI4,Acceso permitido,Acceso permitido,True
42,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNGEzOGJhYzMtNjNhZi00YjAwLWJlM2MtZmNmNGNiOTRmMWQwIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ._HaqSrsH8tYKuGd1Tq83NYlLgLLImFrJVjrFmj0p64I,No autorizado,No autorizado,True
43,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMTA1ZTJhOWEtNDMxNC00YjJjLTgwMzItNzVhYjg5MzMzNWRkIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.sOgSd2-XU_yc9q1s2rtacTaDsbLTz1TgTR7x5vumKGo,Acceso permitido,Acceso permitido,True
44,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNGRjYTNkNTMtOTA5My00NzdmLWI1YmEtODc4NWFlNjNlYWUzIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.F4sXZpQuCexW65NaA0Sn0h5wr_qm75d0HNunvIRZ-Ak,No autorizado,No autorizado,True
45,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiY2RmYTQ3MTktM2MyMC00ZDY2LWFmN2ItMDk4MzE5MjQ0NThiIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.pwBJQfO6NU42NsjaF16nBiTEi8iAn4kK2kCG3SIjHsI,Acceso permitido,Acceso permitido,True
46,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNjIzYjEyOGQtNjIxNi00NjU2LTgwOTEtYWFiNjJhNTM2ZDdlIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.q7qAutyJ7BbxP7KEyBP4_LgaesWh1ZyxVd4zK0yUksc,Acceso permitido,Acceso permitido,True
